user_id,name,email,password,phone,role,created_at
1,Imran Khan,imran.khan1@hotmail.com,hashed_bcrypt_$2b$12$salt0001hash000007,03314744854,vendor,2025-02-22 00:00:00
2,Uzma Malik,uzma.malik2@outlook.com,hashed_bcrypt_$2b$12$salt0002hash000014,03011499914,vendor,2025-04-22 00:00:00
3,Hira Javed,hira.javed3@gmail.com,hashed_bcrypt_$2b$12$salt0003hash000021,03318038374,vendor,2025-04-25 00:00:00
4,Omer Hussain,omer.hussain4@gmail.com,hashed_bcrypt_$2b$12$salt0004hash000028,03218090293,vendor,2025-03-13 00:00:00
5,Sana Chaudhry,sana.chaudhry5@hotmail.com,hashed_bcrypt_$2b$12$salt0005hash000035,03112556017,vendor,2025-01-25 00:00:00
6,Rehan Farooq,rehan.farooq6@hotmail.com,hashed_bcrypt_$2b$12$salt0006hash000042,03018707870,vendor,2025-02-01 00:00:00
7,Yasir Malik,yasir.malik7@hotmail.com,hashed_bcrypt_$2b$12$salt0007hash000049,03124226067,vendor,2025-01-09 00:00:00
8,Hamza Akhtar,hamza.akhtar8@hotmail.com,hashed_bcrypt_$2b$12$salt0008hash000056,03114905582,vendor,2025-01-13 00:00:00
9,Yasir Hussain,yasir.hussain9@outlook.com,hashed_bcrypt_$2b$12$salt0009hash000063,03123728882,vendor,2025-04-01 00:00:00
10,Nadia Hussain,nadia.hussain10@gmail.com,hashed_bcrypt_$2b$12$salt0010hash000070,03219961380,vendor,2025-02-01 00:00:00
11,Aisha Rana,aisha.rana11@outlook.com,hashed_bcrypt_$2b$12$salt0011hash000077,03414684531,vendor,2025-03-25 00:00:00
12,Usman Akhtar,usman.akhtar12@gmail.com,hashed_bcrypt_$2b$12$salt0012hash000084,03127730428,vendor,2025-01-17 00:00:00
13,Nadia Naqvi,nadia.naqvi13@hotmail.com,hashed_bcrypt_$2b$12$salt0013hash000091,03319375710,vendor,2025-06-14 00:00:00
14,Lubna Qureshi,lubna.qureshi14@hotmail.com,hashed_bcrypt_$2b$12$salt0014hash000098,03215137722,vendor,2025-03-13 00:00:00
15,Uzma Hussain,uzma.hussain15@outlook.com,hashed_bcrypt_$2b$12$salt0015hash000105,03227073292,vendor,2025-02-05 00:00:00
16,Saima Bhatti,saima.bhatti16@gmail.com,hashed_bcrypt_$2b$12$salt0016hash000112,03012839607,vendor,2025-03-23 00:00:00
17,Farah Hashmi,farah.hashmi17@gmail.com,hashed_bcrypt_$2b$12$salt0017hash000119,03227402509,vendor,2025-04-30 00:00:00
18,Tooba Hussain,tooba.hussain18@gmail.com,hashed_bcrypt_$2b$12$salt0018hash000126,03115476583,vendor,2025-03-24 00:00:00
19,Salman Sheikh,salman.sheikh19@hotmail.com,hashed_bcrypt_$2b$12$salt0019hash000133,03223653446,vendor,2025-01-01 00:00:00
20,Amna Javed,amna.javed20@yahoo.com,hashed_bcrypt_$2b$12$salt0020hash000140,03116007072,vendor,2025-03-23 00:00:00
21,Saima Hashmi,saima.hashmi21@yahoo.com,hashed_bcrypt_$2b$12$salt0021hash000147,03217273233,customer,2025-01-21 00:00:00
22,Uzma Javed,uzma.javed22@gmail.com,hashed_bcrypt_$2b$12$salt0022hash000154,03129197443,customer,2025-02-27 00:00:00
23,Waqar Bukhari,waqar.bukhari23@yahoo.com,hashed_bcrypt_$2b$12$salt0023hash000161,03015041154,customer,2025-03-14 00:00:00
24,Kamran Malik,kamran.malik24@outlook.com,hashed_bcrypt_$2b$12$salt0024hash000168,03119937326,customer,2025-01-17 00:00:00
25,Adnan Bhatti,adnan.bhatti25@yahoo.com,hashed_bcrypt_$2b$12$salt0025hash000175,03419852897,customer,2025-03-19 00:00:00
26,Farah Chaudhry,farah.chaudhry26@yahoo.com,hashed_bcrypt_$2b$12$salt0026hash000182,03417693979,customer,2025-04-06 00:00:00
27,Sobia Javed,sobia.javed27@outlook.com,hashed_bcrypt_$2b$12$salt0027hash000189,03115159166,customer,2025-01-17 00:00:00
